name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Malcolm Brogdon,MIL ,25,46,41,100%,51,98,52,59.7,60.20%,36,59,61,39.80%,15,39,38.5
Maxi Kleber,DAL ,26,56,48,100%,49,98,50,57.7,61.20%,34,60,56.7,38.80%,15,38,39.5
Justise Winslow,MIA ,22,66,52,100%,44,98,44.9,51,69.40%,32,68,47.1,30.60%,12,30,40
Gorgui Dieng,MIN ,28,79,57,100%,47,97,48.5,50.5,82.50%,43,80,53.8,17.50%,4,17,23.5
Milos Teodosic,LAC ,31,45,41,100%,44,97,45.4,57.7,41.20%,20,40,50,58.80%,24,57,42.1
Luc Mbah a Moute,HOU ,31,61,50,100%,53,96,55.2,67.7,41.70%,29,40,72.5,58.30%,24,56,42.9
Isaiah Thomas,LAL ,29,31,31,100%,34,96,35.4,42.2,49.00%,21,47,44.7,51.00%,13,49,26.5
Jerian Grant,CHI ,25,72,52,100%,36,95,37.9,43.2,62.10%,26,59,44.1,37.90%,10,36,27.8
Nick Young,GSW ,32,60,47,100%,41,94,43.6,59,28.70%,12,27,44.4,71.30%,29,67,43.3
PJ Tucker,HOU ,33,82,52,100%,40,94,42.6,58.5,23.40%,10,22,45.5,76.60%,30,72,41.7
Bismack Biyombo,ORL ,25,77,46,100%,57,93,61.3,61.3,100%,57,93,61.3,0.00%,0,0,-
Nene,HOU ,35,51,46,100%,57,92,62,62,100%,57,92,62,0.00%,0,0,-
Alec Burks,UTA ,26,52,46,100%,35,92,38,44.6,56.50%,23,52,44.2,43.50%,12,40,30
Ben McLemore,MEM ,25,51,42,100%,52,91,57.1,68.1,61.50%,32,56,57.1,38.50%,20,35,57.1
Jabari Parker,MIL ,23,31,30,100%,49,91,53.8,58.8,76.90%,40,70,57.1,23.10%,9,21,42.9
Dwight Powell,DAL ,26,71,46,100%,51,90,56.7,60.6,75.60%,44,68,64.7,24.40%,7,22,31.8
